spec,outcome,term,coefficient,se,ci_lower,ci_upper,p_value,N,reference_age_band
H2_household_cluster_fe,haz,_water_hh_binary,-0.1708010232423274,0.07049507791166039,-0.3089688370365269,-0.03263320944812795,0.015398066909790363,36040,12-23
H2_household_cluster_fe,haz,_sani_hh_binary,0.06834105997236813,0.06292893803384529,-0.05499739215932145,0.1916795121040577,0.27747735225754966,36040,12-23
H2_household_cluster_fe,haz,_water_hh_binary_x_0_5,-0.1082476814014178,0.11658566437357828,-0.3367513846873057,0.12025602188447013,0.35315764250283976,36040,12-23
H2_household_cluster_fe,haz,_water_hh_binary_x_6_11,0.08655864081332926,0.11252564082764392,-0.13398756254614272,0.30710484417280126,0.44175392447224304,36040,12-23
H2_household_cluster_fe,haz,_water_hh_binary_x_24_35,0.07529061039344183,0.08208108980961744,-0.08558536944520599,0.23616659023208963,0.35900060475011353,36040,12-23
H2_household_cluster_fe,haz,_water_hh_binary_x_36_47,0.22592325563633786,0.07638891272881815,0.07620373786968099,0.37564277340299473,0.0031010463433238868,36040,12-23
H2_household_cluster_fe,haz,_water_hh_binary_x_48_59,0.18719982426167125,0.0753516414341786,0.03951332087470513,0.33488632764863735,0.012978830077528012,36040,12-23
H2_household_cluster_fe,haz,_sani_hh_binary_x_0_5,-0.3060694084994176,0.09477533796503634,-0.4918256575335005,-0.12031315946533472,0.0012404141260172097,36040,12-23
H2_household_cluster_fe,haz,_sani_hh_binary_x_6_11,-0.146031661814132,0.09201317118957762,-0.32637416344902265,0.034310839820758665,0.1124960083672567,36040,12-23
H2_household_cluster_fe,haz,_sani_hh_binary_x_24_35,0.03601208695212288,0.07569794133621265,-0.11235315177067973,0.18437732567492549,0.6342638713920097,36040,12-23
H2_household_cluster_fe,haz,_sani_hh_binary_x_36_47,0.027190632978460506,0.0726186411107379,-0.11513928820482552,0.16952055416174652,0.7080840663059674,36040,12-23
H2_household_cluster_fe,haz,_sani_hh_binary_x_48_59,-0.014619000840157537,0.07004928089512541,-0.15191306853753303,0.12267506685721795,0.8346856062306053,36040,12-23
H2_implied_total_by_band,haz,_water_hh_binary__band_0-5,-0.2790487046437452,0.09985641367910408,-0.474763679080122,-0.0833337302073684,,36040,12-23
H2_implied_total_by_band,haz,_water_hh_binary__band_6-11,-0.08424238242899815,0.10230571040705798,-0.2847578902396164,0.11627312538162007,,36040,12-23
H2_implied_total_by_band,haz,_water_hh_binary__band_12-23,-0.1708010232423274,0.07049507791166039,-0.3089688370365269,-0.03263320944812795,,36040,12-23
H2_implied_total_by_band,haz,_water_hh_binary__band_24-35,-0.09551041284888558,0.06306427136519215,-0.2191141134359228,0.02809328773815166,,36040,12-23
H2_implied_total_by_band,haz,_water_hh_binary__band_36-47,0.055122232394010456,0.06633072456618325,-0.0748835988241549,0.18512806361217582,,36040,12-23
H2_implied_total_by_band,haz,_water_hh_binary__band_48-59,0.01639880101934385,0.0685358482555381,-0.11792899321141312,0.15072659525010082,,36040,12-23
H2_implied_total_by_band,haz,_sani_hh_binary__band_0-5,-0.2377283485270495,0.08231992670978315,-0.3990724400882013,-0.07638425696589768,,36040,12-23
H2_implied_total_by_band,haz,_sani_hh_binary__band_6-11,-0.07769060184176386,0.08242658724708107,-0.23924374421459127,0.08386254053106355,,36040,12-23
H2_implied_total_by_band,haz,_sani_hh_binary__band_12-23,0.06834105997236813,0.06292893803384529,-0.05499739215932145,0.1916795121040577,,36040,12-23
H2_implied_total_by_band,haz,_sani_hh_binary__band_24-35,0.104353146924491,0.0640593351481255,-0.0212008428394158,0.2299071366883978,,36040,12-23
H2_implied_total_by_band,haz,_sani_hh_binary__band_36-47,0.09553169295082864,0.06114004664353003,-0.024300596483589232,0.2153639823852465,,36040,12-23
H2_implied_total_by_band,haz,_sani_hh_binary__band_48-59,0.05372205913221059,0.05776685290076142,-0.059498892053504934,0.16694301031792613,,36040,12-23
H2_household_cluster_fe,waz,_water_hh_binary,-0.11111129773185242,0.05370962845389427,-0.2163802351245129,-0.005842360339191943,0.038570419863911964,36308,12-23
H2_household_cluster_fe,waz,_sani_hh_binary,0.1710143888714885,0.0549565736058023,0.06330148389039147,0.27872729385258554,0.0018594443486106586,36308,12-23
H2_household_cluster_fe,waz,_water_hh_binary_x_0_5,0.057514479325092974,0.0927175606697872,-0.12420860032209737,0.23923755897228333,0.5350476832145135,36308,12-23
H2_household_cluster_fe,waz,_water_hh_binary_x_6_11,0.2147056723826564,0.081881017457841,0.05422182714779261,0.3751895176175202,0.008737269823974264,36308,12-23
H2_household_cluster_fe,waz,_water_hh_binary_x_24_35,0.007739504146988143,0.06484617820750065,-0.11935666967477924,0.13483567796875554,0.9049966944784071,36308,12-23
H2_household_cluster_fe,waz,_water_hh_binary_x_36_47,0.14594852565716937,0.060658354107710394,0.02706033624457975,0.264836715069759,0.016124971166297093,36308,12-23
H2_household_cluster_fe,waz,_water_hh_binary_x_48_59,0.13833023924564264,0.059268562068170216,0.02216599217655224,0.25449448631473304,0.01959800548288582,36308,12-23
H2_household_cluster_fe,waz,_sani_hh_binary_x_0_5,-0.2836512604536119,0.08410389522860552,-0.44849186606120883,-0.11881065484601497,0.0007445412171843073,36308,12-23
H2_household_cluster_fe,waz,_sani_hh_binary_x_6_11,-0.20935048792500024,0.08481971758573038,-0.37559407957189045,-0.04310689627811004,0.013580130840923518,36308,12-23
H2_household_cluster_fe,waz,_sani_hh_binary_x_24_35,-0.04943987186816149,0.0645068072267901,-0.17587089079033816,0.07699114705401519,0.4434212293727573,36308,12-23
H2_household_cluster_fe,waz,_sani_hh_binary_x_36_47,-0.1115729495370021,0.05986978521300706,-0.2289155723166446,0.005769673242640425,0.06237879479490241,36308,12-23
H2_household_cluster_fe,waz,_sani_hh_binary_x_48_59,-0.15879635724709856,0.06040787648507573,-0.277193619540391,-0.0403990949538061,0.008570287522568514,36308,12-23
H2_implied_total_by_band,waz,_water_hh_binary__band_0-5,-0.05359681840675945,0.08277608824019596,-0.21583497013865302,0.10864133332513412,,36308,12-23
H2_implied_total_by_band,waz,_water_hh_binary__band_6-11,0.10359437465080397,0.07299257173153433,-0.039468437081959754,0.2466571863835677,,36308,12-23
H2_implied_total_by_band,waz,_water_hh_binary__band_12-23,-0.11111129773185242,0.05370962845389427,-0.2163802351245129,-0.005842360339191943,,36308,12-23
H2_implied_total_by_band,waz,_water_hh_binary__band_24-35,-0.10337179358486429,0.058564447166648,-0.21815600080599318,0.011412413636264607,,36308,12-23
H2_implied_total_by_band,waz,_water_hh_binary__band_36-47,0.034837227925316946,0.05435879737248062,-0.0717040571676556,0.1413785130182895,,36308,12-23
H2_implied_total_by_band,waz,_water_hh_binary__band_48-59,0.027218941513790215,0.05037506227898585,-0.07151436627198426,0.1259522492995647,,36308,12-23
