robustness_family,model_label,outcome,country_scope,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,fe_included,reference_category_metadata,preferred_model_n,baseline_n,n_excluded_by_household_wash_states
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,const,-1.421083018368875,0.07989765026363443,-1.5776795353349755,-1.2644865014027744,9.025701219687042e-71,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,_water_hh_binary,0.017763916565104093,0.031182849184953898,-0.04335334477274973,0.07888117790295791,0.5689019138485364,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,_sanitation_hh_binary,0.024584352614873316,0.02808016925201884,-0.03045176779887264,0.07962047302861927,0.3812987253685298,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,b19_raw,-0.010623821574167488,0.0006099388599602061,-0.011819279772460911,-0.009428363375874065,6.040808767726763e-68,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,birth_order_raw,-0.032327585137269584,0.008451590308655627,-0.04889239775432237,-0.015762772520216795,0.00013075624727452862,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,maternal_age,0.018547075003705688,0.002681819591524071,0.01329080519128459,0.023803344816126788,4.6505041222243744e-12,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,household_size_raw,-0.017123526210424893,0.0042281964256609995,-0.025410638924281442,-0.008836413496568345,5.125229035720412e-05,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,child_sex_Female,0.09524954194840989,0.019275739756190773,0.05746978625090909,0.13302929764591068,7.755530789051985e-07,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,maternal_education_Higher,0.3581056972780427,0.059029699074499814,0.24240961307378572,0.4738017814822997,1.306997808482644e-09,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,maternal_education_Primary,0.2089817980613909,0.039421635571713264,0.13171681212916983,0.2862467839936119,1.1504679312672091e-07,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
